trials.thisTrialN,trials.stepSize,trials.intensity,fixtation.started,grating.started,key_resp.started,fixtation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,1,2.0,26.107980500208214,26.59159680013545,26.59159680013545,26.6080304000061,26.891682700021192,right,2.0,1,1,0.5502253999002278,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
13,1,2.0,27.15809030015953,27.65870470018126,27.65870470018126,27.65870470018126,27.959243200020865,right,2.0,1,1,0.44900089991278946,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
14,1,2.0,28.125746300211176,28.625641900114715,28.625641900114715,28.625641900114715,28.925583200063556,left,-2.0,1,1,0.4509477000683546,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
15,1,1.0,29.092728400137275,29.59284200007096,29.59284200007096,29.59284200007096,29.892646400025114,right,1.0,1,1,0.48047009971924126,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
16,1,1.0,30.092981800204143,30.593315000180155,30.593315000180155,30.593315000180155,30.893103800015524,left,-1.0,1,1,0.3852433997672051,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
17,0.5,1.0,31.010471899993718,31.510088600218296,31.510088600218296,31.510088600218296,31.81008390011266,left,-1.0,0,0,0.368784099817276,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
18,0.5,1.5,31.910458100028336,32.41030800016597,32.41030800016597,32.41030800016597,32.71040630014613,left,-1.5,1,1,0.39629950001835823,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
19,0.5,1.5,32.82740360009484,33.327658200170845,33.327658200170845,33.327658200170845,33.62797210016288,right,1.5,1,1,0.7096942998468876,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
20,0.5,1.5,34.06117210001685,34.54455510014668,34.54455510014668,34.561135600088164,34.8450292001944,right,1.5,0,0,0.7974093998782337,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
21,0.5,2.0,35.36173240002245,35.861968600191176,35.861968600191176,35.861968600191176,36.16180820018053,right,2.0,1,1,0.7998710998799652,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
22,0.5,2.0,36.67836150014773,37.17887190007605,37.17887190007605,37.17887190007605,37.47888090019114,left,-2.0,1,1,0.8901404999196529,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
23,0.5,2.0,38.09577240003273,38.59629190014675,38.59629190014675,38.59629190014675,38.89623750001192,left,-2.0,0,0,0.501998599851504,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
24,0.5,2.5,39.12967390008271,39.613500200212,39.613500200212,39.6295112001244,39.913685200037435,right,2.5,0,0,0.7578101998660713,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
25,0.5,3.0,40.39618939999491,40.89706340013072,40.89706340013072,40.89706340013072,41.197031900053844,right,3.0,1,1,0.84734239988029,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
26,0.5,3.0,41.76399890007451,42.264352600090206,42.264352600090206,42.264352600090206,42.56409280002117,right,3.0,1,1,0.469821099890396,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
27,0.5,3.0,42.76418450009078,43.26463020010851,43.26463020010851,43.26463020010851,43.56478700018488,left,-3.0,0,0,0.34568140003830194,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
28,0.5,3.5,43.631000000052154,44.13133370014839,44.13133370014839,44.13133370014839,44.431966700125486,right,3.5,0,0,0.36809609993360937,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
29,0.5,4.0,44.53146030008793,45.03167759999633,45.03167759999633,45.03167759999633,45.331762599991634,right,4.0,1,1,0.3328446999657899,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
